User Query,Clarifying Question
"find the time magazine photo essay \""barack obama\'s family tree\"".",where did barack obama\'s parents and grandparents come from?
what are some low-cost broadband internet providers?,do any internet providers still sell dial-up?
find information about the ritz carlton resort at lake las vegas.,find a site where i can determine room price and availability.
find general information about fickle creek farm in north carolina,"where is fickle creek farm, and how can i go there?"
find historical information about madam c. j. walker.,find information about the business that c. j. walker started.
find the official legal rules and procedures pertaining to child support in indiana.,help me calculate my child support obligation in indiana.
"what medical services are available in sonoma county, california?","i\'m looking for the home page of the county medical services program (cmsp) of sonoma county, california."
find testimonials of universal animal cuts nutritional supplement.,"are animal cuts safe to use, and are they effective?"
"find demographic information about cass county, mo.","what was the 2008 budget for cass county, mo?"
find biographical information about ralph owen brewster.,what elected offices did ralph owen brewster hold?
"what medical services are available at the mayo clinic in jacksonville, fl?","how does one request an appointment at the mayo clinic in jacksonville, florida?"
who are some companies that offer gmat prep classes?,i\'m looking for some free sample gmat exams to practice on.
what are the boundaries of the political jurisdictions in brazil?,i am looking for information about taking a vacation trip to brazil.
what treatments are available for dogs diagnosed with lymphoma?,what are the symptoms of lymphoma in dogs?
reviews of kenmore gas water heaters,owner manuals for kenmore (sears) gas water heaters
"retailers, including price information, of the hp mini 2140 notebook computer",product reviews for the hp mini 2140 notebook computer
how does one build an adobe house?,information about indian tribes that used adobe houses
"career opportunities at pnl: what openings are currently available, what educational background is required, what prior experience is needed",types of research projects performed at pnl
find information about the california franchise tax board.,how do i register as a tax preparer?
what specific health problems arise from exposure to asbestos?,find basic information about the dangers of asbestos.
"what is \""poem in your pocket day\""?",find poems written for poem in your pocket day.
get help on writing a thank-you letter after a job interview.,find examples of thank-you letters for sending after an interview.
i\'m looking for djs that specialize in hip-hop music.,i want to hire a dj for a wedding.
looking for information on how to watch television programming on your computer.,how much does it cost to get tv programs online?
"find out what the \""sit and reach test\"" is.",how is this test used in physical rehabilitation treatment?
what is the history of the culpeper national cemetery?,where is the culpeper national cemetery located?
what is von willebrand disease?,what are the symptoms of von willebrand disease?
find information about the bowflex power pro.,find reviews of the bowflex power pro.
what is the difference between butter and margarine?,"what is the difference in regards to cholesterol, calorie count, and other nutritional qualities."
find a map of the inside of the us capitol.,"find a map of the area around the us capitol, including nearby sites to visit."
"find information for tourists about dutchess county, ny.",find the homepage of dutchess county (ny) tourism.
what do atypical squamous cells mean on a pap smear test?,"find information on cervical cancer, atypical squamous cells, and human papillomavirus (hpv)."
find general information about iowa\'s food stamps program.,how do i apply for iowa\'s food assistance (food stamps) program?
take me to the google maps homepage.,i want to find free printable maps.
find information about the planet uranus.,find the wikipedia page on uranus.
"what does the phrase, \""equal opportunity employer\"" mean?",whom can i contact if i think i am being discriminated against by an equal opportunity employer?
lyrics of songs written for mothers\' day,names of artists who have recorded songs about mother\'s day
"who said \""all men are created equal\""?",information about the drafting of the declaration of independence
what different types of electronic skeet shooting games are available?,product reviews for electronic skeet shooting games
"how to play the board game \""source of the nile\""",information on the feud between speke and burton over the discovery of the source of the nile river
what are the registration requirements for enrolling at american military university?,reviews and commentary on the quality of education received by students at american military university
looking for locations and dates of rock and gem shows.,rock and gem shows that offer lapidary classes
contact information for jax chemical company,find the home page of the jax chemical company
discussion of the impending sale of the rocky mountain news,home page of the rocky mountain news
"go to the discovery channel\'s dinosaur site, which has pictures of dinosaurs and games.",i\'m looking for free pictures of dinosaurs.
"demographics of east ridge high school in lick creek, kentucky","home page for east ridge high school in chattanooga, tennessee"
information and procedures for registering vehicles in virginia,where are offices of the virginia department of motor vehicles located and what are their hours of operation?
information about the sales tax in illinois: what is the rate and what is it levied on,information on the state income tax in illinois
"locations and reviews of health clubs in arkadelphia, arkansas",information regarding the locations of and services/facilities provided by the arkadelphia health club
information on where i could buy a new or used trombone,good places to sell a used trombone
information on vines that can be grown in shady areas,"ideas on using plant vines to shade an area on or around my house from the sun, like training them on an inexpensive trellis or up a wall or fence"
what services are provided by the sherwood regional library?,driving directions to the sherwood regional library
what is the definition of tangible personal property for tax purposes?,what states levy a tax against tangible personal property?
find information/timeline about martha stewart\'s insider trading case,find sites that support martha stewart with respect to the insider trading case
"how likely is a volcanic eruption at yellowstone national park, and what would be the effects of such an eruption?",information on ground elevation changes and movement resulting from ongoing low-level geothermal activity at yellowstone national park
i\'m looking for college football and basketball scores.,i want to find nba basketball standings.
what are the requirements to become a tennessee highway patrol state trooper?,information about the responsibilities of the tennessee highway patrol
what is a 403b plan?,who is eligible for a 403b plan?
what home remedies are there for angular cheilitis?,what causes angular cheilitis?
find general information on tourist activities in pennsylvania\'s pocono mountains.,find a map showing lodgings in the poconos pa region.
find information on nutritional or health benefits of figs.,find recipes that use figs.
find a picture of the last supper painting by leonardo da vinci.,"are tickets available online to view da vinci\'s last supper in milan, italy?"
what online programs are offered by the university of phoenix?,find reviews of the programs at the university of phoenix.
find a listing of beatles songs.,what is the history of the beatles rock band?
how does a septic system work?,what alternatives are there for the design of a septic system?
"what k-12 schools are in porterville, ca?","what colleges or post-secondary institutions are in porterville, ca?"
take me to the arizona game and fish department homepage.,what are the regulations for hunting and fishing in arizona?
find kabob recipes.,find tips on grilling vegetables.
what are some small space decorating dos and don\'ts?,what is the effect of mirrored surfaces in small spaces?
"what are \""do not resuscitate\"" orders and how do you get one in place?",what is required to get a hunting license online from the michigan department of natural resources?
provide arkansas tourist information.,show a map of arkansas.
what hobby stores carry trains?,find a list of hobby stores in maryland.
find a picture of a blue-throated hummingbird.,what is the scientific name of the blue-throated hummingbird?
what type of careers are there for computer programmers?,list online computer programming tutorials.
find information on barbados history.,find a map of barbados.
what are the causes of lipoma tumors in humans?,what age group most often exhibits lipomas?
what were the major battles in the us civil war?,what famous generals fought in the us civil war?
i want to find information on the world series of poker.,i\'m looking for a schedule of poker tournaments in las vegas.
find kids\' scooters for sale.,find the homepage of hoveround scooters.
what movies has ron howard directed?,find biographical information on director ron howard.
what training is required to become a paralegal?,what aba-approved certificate programs are there?
find information on hip fractures in the elderly.,how do you treat a hip fracture and what is the prognosis for recovery?
